fly	anti_reloc	actual_reward_vec	fictive_reward_vec	fly_vec	condition	angle_FRZ	angle_ARZ	angle_reloc
11	[-6.92972973  0.05945946]	[-11.64486486   3.36108108]	[-4.71513514  3.30162162]	[ 1.27459459 -2.03837838]	rewarded	-2.7404822763253307	-2.410605262153444	-2.1381902750045274
12	[-4.85945946 -0.58378378]	[-3.03945946  3.85621622]	[1.82 4.44]	[0.88702703 2.00216216]	rewarded	0.02802628196860013	1.0845490508178761	2.107403222792996
13	[-12.07567568  -1.46486486]	[-11.48054054  18.35135135]	[ 0.59513514 19.81621622]	[3.03297297 3.68108108]	non-rewarded	0.6591425436978042	1.248194371611671	2.3806798230697748
14	[-10.14594595  -0.0972973 ]	[-12.62162162   2.75621622]	[-2.47567568  2.85351351]	[ 1.86594595 -5.20864865]	non-rewarded	-2.77097230898827	-2.129790398931208	-1.9052034247407126
15	[-7.98378378 -0.46486486]	[-12.05513514  13.58162162]	[-4.07135135 14.04648649]	[-3.08864865  1.14756757]	non-rewarded	-0.9329418248608135	-0.4891338882023146	0.4138974102307964
16	[-7.32972973 -0.57837838]	[-11.75945946   2.07297297]	[-4.42972973  2.65135135]	[2.71945946 2.74378378]	rewarded	1.8124000518839765	2.1772535240759066	2.430487547300835
17	[-4.94594595 -0.49189189]	[-16.61135135   4.83945946]	[-11.66540541   5.33135135]	[-0.91328185 -1.86401544]	non-rewarded	-1.543896126520366	-1.3987056963786735	-1.0160901693183355
18	[-12.28108108  -1.51891892]	[-12.83843844   4.2960961 ]	[-0.55735736  5.81501502]	[-6.16924925 -2.18174174]	non-rewarded	-1.8151611393544966	-0.6628358316545082	-0.21686619650429995
19	[-7.63783784 -0.63243243]	[-11.99675676   4.44108108]	[-4.35891892  5.07351351]	[-5.79567568 -4.33783784]	non-rewarded	-1.5035285234763247	-0.997062644523993	-0.5599014063799128
20	[-8.85945946 -1.25405405]	[-10.12825553   2.65110565]	[-1.26879607  3.90515971]	[ 1.70958231 -0.13213759]	rewarded	1.9620789761684518	2.9627218488697498	-2.9238381446184323
21	[-6.48108108 -2.32972973]	[-18.16432432   2.50918919]	[-11.68324324   4.83891892]	[0.92432432 2.82054054]	non-rewarded	1.4948119506330908	1.750209386819101	2.232561930793196
22	[-7.86486486  0.03243243]	[-7.41459459  6.10648649]	[0.45027027 6.07405405]	[-3.52324324 -1.5572973 ]	non-rewarded	-2.0609779793154077	-1.105139385295896	-0.4203105769995883
23	[-9.11891892 -0.51351351]	[-11.5772973    3.21405405]	[-2.45837838  3.72756757]	[2.5        3.10108108]	rewarded	1.2615256502590606	1.9784908994080768	2.305542012494203
24	[-8.         -1.02702703]	[-8.33153153 12.98078078]	[-0.33153153 14.00780781]	[-1.54288288  4.29861862]	non-rewarded	-0.3209406301948845	0.22601071784581794	1.353872493147115
25	[-7.34594595 -0.01081081]	[-5.30594595  4.48648649]	[2.04      4.4972973]	[1.27783784 1.68540541]	rewarded	0.22286628208258552	1.51760129237495	2.220982715371438
26	[-10.62162162  -1.21081081]	[-21.99783784  20.36972973]	[-11.37621622  21.58054054]	[-2.94108108 -2.23513514]	non-rewarded	-1.7355159351031073	-1.3968407013551492	-0.5363468655468582
27	[-8.24864865  0.04324324]	[-14.45675676   4.51027027]	[-6.20810811  4.46702703]	[-1.72309582 -2.07744472]	non-rewarded	-1.5020906447277298	-1.1807801362235733	-0.8836082569507671
28	[-9.80540541  0.2       ]	[-11.77945946   4.75081081]	[-1.97405405  4.55081081]	[-0.21513514  5.79459459]	rewarded	0.37217461669575425	1.150327238321399	1.5132924206354952
29	[-7.12972973  0.72972973]	[-11.26216216   5.15027027]	[-4.13243243  4.42054054]	[-1.91783784  3.79621622]	rewarded	0.2839290266216663	0.674085467523057	1.001004497522933
30	[-6.22162162 -0.12432432]	[-7.47135135  4.77513514]	[-1.24972973  4.89945946]	[2.43135135 3.84702703]	rewarded	0.8133722383870001	1.56572621083669	2.154399108528944
31	[-7.04864865  1.2972973 ]	[-3.33891892  7.54810811]	[3.70972973 6.25081081]	[-2.25243243 -7.96540541]	non-rewarded	2.8815630734404323	-2.44953534283343	-1.4772266492086992
32	[-9.1027027  -0.82702703]	[-14.17621622   4.44648649]	[-5.07351351  5.27351351]	[-2.7        -1.76864865]	non-rewarded	-1.3846456381072212	-0.8838603368225009	-0.4893143123166266
33	[-8.3027027   0.38378378]	[-10.18648649   5.7027027 ]	[-1.88378378  5.31891892]	[0.06324324 0.00486486]	rewarded	1.8344063741670036	2.5544617176618196	3.018629683385943
