fly,level_1,cum_dist,t,timestamp,frame,x_px,y_px,led_1,fname,segment,tseg,segment_start_ts,transx,transy,estimated_food_x,estimated_food_y,condition,cum_dist_seg,cum_dist_fly,fr_x_px,fr_y_px,distance_reward,dist_fictive_reward,fr_x_cm,fr_y_cm,distance_reward_cm,dist_fictive_reward_cm,transx_cm,transy_cm,x_cm,y_cm,estimated_food_x_cm,estimated_food_y_cm,cum_dist_cm,cum_dist_seg_cm,cum_dist_fly_cm
20,95372,8738.0,558.0,1547050025.5362005,96428.5,474.32,574.8199999999998,0.0,flytrax20190109_165747.csv,test_before_movement,35.69910049438477,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,549.1161587852625,8590.909031479376,24.32,-65.18000000000018,69.56935244775549,69.56935244775549,1.3145945945945945,-3.523243243243253,3.760505537716513,3.760505537716513,0.0,0.0,-8.144864864864866,2.9632432432432343,-9.459459459459461,6.486486486486488,472.3243243243243,29.68195452893311,464.37346116104726
20,95373,8740.0,558.1,1547050025.6370006,96438.5,473.18,573.03,0.0,flytrax20190109_165747.csv,test_before_movement,35.7999005317688,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,551.2383510479946,8593.031223742108,23.18000000000001,-66.97000000000003,70.8681402324063,70.8681402324063,1.2529729729729733,-3.6200000000000014,3.8307102828327726,3.8307102828327726,0.0,0.0,-8.206486486486487,2.866486486486485,-9.459459459459461,6.486486486486488,472.4324324324325,29.79666762421592,464.4881742563301
20,95374,8742.0,558.2,1547050025.7370002,96448.5,472.06000000000006,571.3600000000001,0.0,flytrax20190109_165747.csv,test_before_movement,35.89990019798279,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,553.2491469103334,8595.042019604447,22.060000000000052,-68.63999999999987,72.09780301784505,72.09780301784505,1.1924324324324356,-3.7102702702702635,3.897178541505137,3.897178541505137,0.0,0.0,-8.267027027027023,2.7762162162162234,-9.459459459459461,6.486486486486488,472.54054054054046,29.90535929245045,464.5968659245647
20,95375,8744.0,558.3000000000002,1547050025.8379998,96458.5,470.7799999999999,569.4999999999999,0.0,flytrax20190109_165747.csv,test_before_movement,36.00089979171753,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,555.5070220175971,8597.299894711708,20.779999999999927,-70.5000000000001,73.4986965870825,73.4986965870825,1.1232432432432389,-3.8108108108108167,3.972902518220676,3.972902518220676,0.0,0.0,-8.33621621621622,2.6756756756756697,-9.459459459459461,6.486486486486488,472.6486486486488,30.027406595545788,464.71891322766
20,95376,8746.0,558.4,1547050025.9333336,96468.0,469.5555555555555,567.9444444444445,0.0,flytrax20190109_165747.csv,test_before_movement,36.0962336063385,1547049989.8371,0.0,0.0,450.0,640.0,rewarded,557.4866728160841,8599.279545510197,19.55555555555549,-72.05555555555554,74.66205756276857,74.66205756276857,1.0570570570570532,-3.8948948948948936,4.035786895284788,4.035786895284788,0.0,0.0,-8.402402402402407,2.5915915915915924,-9.459459459459461,6.486486486486488,472.75675675675683,30.134414746815356,464.8259213789296
21,193173,8305.0,415.3,1547130965.3307006,8149831.5,675.22,583.96,0.0,flytrax20190110_152909.csv,test_before_movement,11.749050855636597,1547130953.5816498,0.0,0.0,450.0,640.0,non-rewarded,284.95257754437785,8134.392809970922,225.22000000000003,-56.03999999999997,232.08733270042984,232.08733270042984,12.174054054054055,-3.029189189189187,12.54526122705026,12.54526122705026,0.0,0.0,2.7145945945945957,3.4572972972973,-9.459459459459461,6.486486486486488,448.91891891891885,15.402842029425829,439.6969086470768
21,193174,8310.0,415.45000000000016,1547130965.4816005,8149846.5,671.9549999999998,580.885,0.0,flytrax20190110_152909.csv,test_before_movement,11.899950742721558,1547130953.5816498,0.0,0.0,450.0,640.0,non-rewarded,289.43764722053686,8138.877879647082,221.9549999999998,-59.11500000000001,229.6924144372206,229.6924144372206,11.997567567567554,-3.1954054054054057,12.41580618579571,12.41580618579571,0.0,0.0,2.5381081081080983,3.2910810810810807,-9.459459459459461,6.486486486486488,449.1891891891892,15.645278228137126,439.9393448457881
21,193175,8315.0,415.65,1547130965.68235,8149866.5,667.6800000000002,576.7450000000001,0.0,flytrax20190110_152909.csv,test_before_movement,12.10070013999939,1547130953.5816498,0.0,0.0,450.0,640.0,non-rewarded,295.38871645219564,8144.828948878739,217.68000000000012,-63.254999999999896,226.6843122604652,226.6843122604652,11.766486486486494,-3.4191891891891832,12.253206068133247,12.253206068133247,0.0,0.0,2.3070270270270368,3.0672972972973036,-9.459459459459461,6.486486486486488,449.45945945945954,15.966957646064627,440.26102426371557
21,193176,8320.0,415.85,1547130965.8834,8149886.5,666.8899999999999,572.21,0.0,flytrax20190110_152909.csv,test_before_movement,12.301750183105467,1547130953.5816498,0.0,0.0,450.0,640.0,non-rewarded,299.99201146772543,8149.432243894269,216.88999999999987,-67.78999999999996,227.2372245033809,227.2372245033809,11.723783783783775,-3.6643243243243218,12.283093216398964,12.283093216398964,0.0,0.0,2.2643243243243174,2.822162162162164,-9.459459459459461,6.486486486486488,449.72972972972974,16.215784403660837,440.5098510213118
21,193177,8325.0,416.05,1547130966.0844498,8149906.5,667.925,566.935,0.0,flytrax20190110_152909.csv,test_before_movement,12.502799987792967,1547130953.5816498,0.0,0.0,450.0,640.0,non-rewarded,305.36759050630366,8154.807822932848,217.92499999999995,-73.06500000000005,229.8473403152623,229.8473403152623,11.779729729729727,-3.949459459459464,12.424180557581744,12.424180557581744,0.0,0.0,2.320270270270268,2.537027027027024,-9.459459459459461,6.486486486486488,450.0,16.50635624358398,440.80042286123495
