fly	fname	condition	segment	location	fraction
30	flytrax20190116_152245.csv	rewarded	test200	at_center	0.0035
31	flytrax20190116_160702.csv	non-rewarded	test200	at_center	0.0
32	flytrax20190116_163246.csv	non-rewarded	test200	at_center	0.039226519337016576
33	flytrax20190116_180834.csv	rewarded	test200	at_center	0.047976011994003004
34	flytrax20190116_192744.csv	rewarded	test200	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	test200	at_center	0.0
36	flytrax20190118_171511.csv	non-rewarded	test200	at_center	0.03110599078341014
37	flytrax20190118_181417.csv	non-rewarded	test200	at_center	0.002001000500250125
38	flytrax20190119_171903.csv	non-rewarded	test200	at_center	0.037467018469656985
39	flytrax20190119_174549.csv	non-rewarded	test200	at_center	0.02699724517906336
0	flytrax20181123_114304.csv	rewarded	test100	at_center	0.0
1	flytrax20181123_152457.csv	rewarded	test100	at_center	0.11180124223602483
3	flytrax20181123_162408.csv	rewarded	test100	at_center	0.017982017982017984
4	flytrax20181127_162328.csv	rewarded	test100	at_center	0.045
5	flytrax20181204_163734.csv	rewarded	test100	at_center	0.0
6	flytrax20181204_170930.csv	rewarded	test100	at_center	0.102
7	flytrax20181205_182038.csv	non-rewarded	test100	at_center	0.0
8	flytrax20181205_184643.csv	non-rewarded	test100	at_center	0.023976023976023976
9	flytrax20181207_161754.csv	rewarded	test100	at_center	0.01
10	flytrax20181207_180201.csv	rewarded	test100	at_center	0.152
11	flytrax20181211_170828.csv	rewarded	test100	at_center	0.4428274428274429
12	flytrax20181211_183411.csv	rewarded	test100	at_center	0.07092907092907093
13	flytrax20181211_185727.csv	non-rewarded	test100	at_center	0.0
14	flytrax20181211_192052.csv	non-rewarded	test100	at_center	0.0
15	flytrax20181212_193040.csv	non-rewarded	test100	at_center	0.0
16	flytrax20181214_174232.csv	rewarded	test100	at_center	0.0
17	flytrax20181217_192137.csv	non-rewarded	test100	at_center	0.015090543259557344
18	flytrax20181218_164433.csv	non-rewarded	test100	at_center	0.039
19	flytrax20181218_175537.csv	non-rewarded	test100	at_center	0.035
20	flytrax20190109_165747.csv	rewarded	test100	at_center	0.075
21	flytrax20190110_152909.csv	non-rewarded	test100	at_center	0.0
22	flytrax20190110_162901.csv	non-rewarded	test100	at_center	0.011
23	flytrax20190110_170616.csv	rewarded	test100	at_center	0.0
24	flytrax20190110_173636.csv	non-rewarded	test100	at_center	0.0
25	flytrax20190110_182810.csv	rewarded	test100	at_center	0.017
26	flytrax20190111_164022.csv	non-rewarded	test100	at_center	0.0
