at_center	at_fictive_reward	at_reward	condition	cum_dist_seg_cm	fly	fname	segment	tseg
0.0	0.24056603773584906	0.24056603773584906	rewarded	24.566543876049533	9	flytrax20181207_161754.csv	post-stim	21.091277360916138
0.05161398789509079	0.04371217215870881	0.026899798251513115	rewarded	710.1100073355967	10	flytrax20181207_180201.csv	after_relocation	594.7673003673552
0.0	0.0	0.0	rewarded	716.633165492451	10	flytrax20181207_180201.csv	baseline	787.2063999176025
0.3076923076923077	0.0	0.0	rewarded	9.994928366559936	10	flytrax20181207_180201.csv	relocation	1.1965997219085691
0.0	0.30067189249720044	0.30067189249720044	rewarded	198.9260963714499	10	flytrax20181207_180201.csv	stimulation	178.49509978294373
0.0	0.0	0.0	rewarded	5.869596642764593	10	flytrax20181207_180201.csv	post-stim	3.896311283111572
0.1488052136133237	0.012853005068790729	0.010861694424330196	rewarded	464.634254690459	11	flytrax20181211_170828.csv	after_relocation	556.1534998416902
0.0	0.0	0.0	rewarded	292.84437465625007	11	flytrax20181211_170828.csv	baseline	471.1965992450714
0.0	0.0	0.0	rewarded	6.7030395719239175	11	flytrax20181211_170828.csv	relocation	1.6080999374389648
0.0	0.6257731958762887	0.6257731958762887	rewarded	59.6609690709732	11	flytrax20181211_170828.csv	stimulation	96.90599989891052
0.0	0.1895734597156398	0.1895734597156398	rewarded	33.20292804257731	11	flytrax20181211_170828.csv	post-stim	42.09692215919495
0.0132536867649804	0.019973865969759197	0.00728019413851036	rewarded	557.0355229195181	12	flytrax20181211_183411.csv	after_relocation	538.7759852409363
0.0	0.0	0.0	rewarded	164.93564819577225	12	flytrax20181211_183411.csv	baseline	349.79890966415405
0.0	0.0	0.0	rewarded	4.7317428202830145	12	flytrax20181211_183411.csv	relocation	1.607299566268921
0.0	0.6888888888888889	0.6888888888888889	rewarded	86.3746026394944	12	flytrax20181211_183411.csv	stimulation	85.39829897880556
0.0	0.1411764705882353	0.1411764705882353	rewarded	54.92406451954295	12	flytrax20181211_183411.csv	post-stim	59.39789962768555
