cum_dist,t,timestamp,frame,x_px,y_px,led_1
3470.0,491.25,1543940261.9250998,43588653.5,657.22,335.12,0.0
3472.0,491.40000000000003,1543940262.0757,43588668.5,654.43,334.53000000000003,0.0
3474.0,491.5,1543940262.176,43588678.5,652.3199999999999,333.8,0.0
3478.0,491.6,1543940262.2768002,43588688.5,650.24,333.01000000000005,0.0
3480.0,491.70000000000005,1543940262.3770003,43588698.5,648.16,332.26,0.0
3482.0,491.8,1543940262.4777,43588708.5,645.8,331.57000000000005,0.0
3484.0,491.90000000000003,1543940262.578,43588718.5,643.5500000000001,330.69999999999993,0.0
3486.0,492.0,1543940262.6788,43588728.5,641.55,329.41999999999996,0.0
3490.0,492.1,1543940262.7789998,43588738.5,639.79,327.73,0.0
3492.0,492.20000000000005,1543940262.8799,43588748.5,638.05,326.21000000000004,0.0
3494.0,492.3,1543940262.98,43588758.5,636.1099999999999,325.0200000000001,0.0
3496.0,492.40000000000003,1543940263.0809002,43588768.5,634.1400000000001,324.82000000000005,0.0
3498.0,492.5,1543940263.1810002,43588778.5,632.3799999999999,325.3,0.0
3500.0,492.6,1543940263.2819002,43588788.5,630.67,325.87,0.0
3502.0,492.70000000000005,1543940263.382,43588798.5,628.5600000000001,326.89,0.0
3504.0,492.8,1543940263.4778888,43588808.0,627.3,328.4888888888888,0.0
3506.0,492.90000000000003,1543940263.5729997,43588817.5,626.51,330.17999999999995,0.0
3508.0,493.0,1543940263.6737998,43588827.5,625.23,331.59000000000003,0.0
3510.0,493.1,1543940263.774,43588837.5,623.55,331.96000000000004,0.0
3512.0,493.20000000000005,1543940263.8748996,43588847.5,621.6999999999999,331.53999999999996,0.0
3514.0,493.3,1543940263.975,43588857.5,620.0899999999999,330.22,0.0
3516.0,493.40000000000003,1543940264.0762,43588867.5,618.5400000000001,328.87,0.0
3518.0,493.5,1543940264.1762002,43588877.5,616.5699999999999,327.56,0.0
3520.0,493.6,1543940264.2769,43588887.5,614.8,326.15999999999997,0.0
3522.0,493.70000000000005,1543940264.3770003,43588897.5,612.79,324.77,0.0
3524.0,493.8,1543940264.4779,43588907.5,610.82,323.40000000000003,0.0
3528.0,493.90000000000003,1543940264.578,43588917.5,608.74,322.18,0.0
3530.0,494.0,1543940264.6789002,43588927.5,606.8100000000001,320.99,0.0
3532.0,494.1,1543940264.7791,43588937.5,605.22,319.51,0.0
3534.0,494.20000000000005,1543940264.8799,43588947.5,603.72,317.76,0.0
3536.0,494.3,1543940264.98,43588957.5,602.23,315.95000000000005,0.0
3538.0,494.40000000000003,1543940265.0809002,43588967.5,600.6899999999999,314.03000000000003,0.0
3540.0,494.5,1543940265.1810002,43588977.5,598.9600000000002,312.43,0.0
3544.0,494.6,1543940265.282,43588987.5,597.0799999999999,311.08,0.0
3546.0,494.70000000000005,1543940265.382,43588997.5,595.13,309.86,0.0
