t,timestamp,frame,x_px,y_px,led_1
768.2,1543940538.8736,43616209.5,390.72999999999996,580.73,0.0
768.3000000000001,1543940538.9744,43616219.5,392.80000000000007,578.8599999999999,0.0
768.4000000000001,1543940539.0745003,43616229.5,394.74,576.74,0.0
768.5,1543940539.1750002,43616239.5,395.7900000000001,574.59,0.0
768.6,1543940539.2755,43616249.5,395.36,572.4300000000001,0.0
768.7,1543940539.376,43616259.5,395.02,571.05,0.0
768.8000000000001,1543940539.4765,43616269.5,395.37,569.6800000000001,0.0
768.9000000000001,1543940539.5774,43616279.5,396.26000000000005,568.64,0.0
769.0,1543940539.6774,43616289.5,396.12,568.78,0.0
769.1,1543940539.7779999,43616299.5,396.37,569.5,0.0
769.2,1543940539.8785996,43616309.5,397.33,569.99,0.0
769.3000000000001,1543940539.9789999,43616319.5,398.88,570.68,0.0
769.4000000000001,1543940540.0795999,43616329.5,400.77000000000004,571.4300000000001,0.0
769.5,1543940540.1799998,43616339.5,402.98,572.0799999999999,0.0
769.6,1543940540.2805,43616349.5,404.52,572.45,0.0
769.7,1543940540.381,43616359.5,404.37,573.0699999999999,0.0
769.8000000000001,1543940540.4765558,43616369.0,404.2555555555556,574.3444444444444,0.0
769.9000000000001,1543940540.572,43616378.5,404.8,576.04,0.0
770.0,1543940540.6725001,43616388.5,405.5,578.04,0.0
770.1,1543940540.773,43616398.5,406.46000000000004,579.92,0.0
770.2,1543940540.8735,43616408.5,407.76,581.7299999999999,0.0
770.3000000000001,1543940540.9740002,43616418.5,409.40999999999997,583.5400000000001,0.0
770.4000000000001,1543940541.0746002,43616428.5,411.0400000000001,585.01,0.0
770.5,1543940541.1750002,43616438.5,411.32000000000005,585.3299999999999,0.0
770.6,1543940541.2756,43616448.5,411.39000000000004,585.6999999999999,0.0
770.7,1543940541.376,43616458.5,411.62999999999994,586.1800000000001,0.0
770.8000000000001,1543940541.4765,43616468.5,412.52,587.0600000000001,0.0
770.9000000000001,1543940541.5770001,43616478.5,414.02,588.24,0.0
771.0,1543940541.6776,43616488.5,416.03000000000003,589.3299999999999,0.0
771.1,1543940541.7779999,43616498.5,417.75,590.0600000000001,0.0
771.2,1543940541.8785996,43616508.5,418.63,590.87,0.0
771.3000000000001,1543940541.9789999,43616518.5,418.91999999999996,591.4100000000001,0.0
771.4000000000001,1543940542.0795999,43616528.5,419.98999999999995,592.52,0.0
771.5,1543940542.1799998,43616538.5,421.46999999999997,593.76,0.0
771.6,1543940542.2807,43616548.5,422.53999999999996,595.0,0.0
771.7,1543940542.381,43616558.5,423.9599999999999,596.6099999999999,1600.0
771.8000000000001,1543940542.4765558,43616568.0,425.6,598.1555555555556,16000.0
771.9000000000001,1543940542.572,43616577.5,426.9,599.5400000000001,16000.0
772.0,1543940542.6726003,43616587.5,426.93,599.49,16000.0
772.1,1543940542.773,43616597.5,426.95,599.57,16000.0
772.2,1543940542.8736,43616607.5,426.98,599.57,16000.0
772.3000000000001,1543940542.9740002,43616617.5,426.95,599.5800000000002,16000.0
772.4000000000001,1543940543.0749002,43616627.5,426.96000000000004,599.5900000000001,16000.0
772.5,1543940543.1750002,43616637.5,426.91999999999996,599.6000000000001,16000.0
772.6,1543940543.2757003,43616647.5,426.9,599.61,16000.0
772.7,1543940543.376,43616657.5,426.78999999999996,599.7099999999999,16000.0
772.8000000000001,1543940543.4768002,43616667.5,426.64,599.8799999999999,16000.0
772.9000000000001,1543940543.5770001,43616677.5,426.48,600.0,16000.0
773.0,1543940543.6776998,43616687.5,426.33000000000004,599.98,16000.0
773.1,1543940543.7779999,43616697.5,426.19999999999993,599.79,16000.0
773.2,1543940543.8787997,43616707.5,426.32000000000005,599.73,16000.0
773.3000000000001,1543940543.9789999,43616717.5,426.53000000000003,599.89,16000.0
773.4000000000001,1543940544.0802999,43616727.5,426.8,599.9999999999999,16000.0
773.5,1543940544.1799998,43616737.5,426.88,599.64,16000.0
773.6,1543940544.2807999,43616747.5,426.83000000000004,599.1099999999999,16000.0
773.7,1543940544.381,43616757.5,426.86,598.84,16000.0
773.8000000000001,1543940544.4766667,43616767.0,426.96666666666664,598.6444444444446,16000.0
773.9000000000001,1543940544.572,43616776.5,427.18999999999994,598.5600000000001,16000.0
774.0,1543940544.6727002,43616786.5,427.5299999999999,598.6000000000001,16000.0
774.1,1543940544.773,43616796.5,428.00999999999993,598.7399999999999,16000.0
774.2,1543940544.8737,43616806.5,428.2900000000001,599.0899999999999,16000.0
774.3000000000001,1543940544.9740002,43616816.5,428.43,599.8300000000002,16000.0
774.4000000000001,1543940545.0747,43616826.5,428.25,600.49,16000.0
774.5,1543940545.1750002,43616836.5,427.89000000000004,601.05,16000.0
774.6,1543940545.2757003,43616846.5,427.76000000000005,601.9799999999999,16000.0
774.7,1543940545.376,43616856.5,428.03000000000003,603.1600000000001,16000.0
774.8000000000001,1543940545.4767003,43616866.5,428.09,604.6,16000.0
774.9000000000001,1543940545.5770001,43616876.5,427.78000000000003,605.98,16000.0
775.0,1543940545.6777997,43616886.5,426.53999999999996,606.72,16000.0
775.1,1543940545.7784,43616896.5,425.06000000000006,606.8599999999999,16000.0
775.2,1543940545.8787997,43616906.5,423.84,606.8300000000002,16000.0
775.3000000000001,1543940545.9789999,43616916.5,422.94000000000005,606.59,16000.0
775.4000000000001,1543940546.0798,43616926.5,422.65,605.98,16000.0
775.5,1543940546.1799998,43616936.5,422.01000000000005,605.7700000000001,16000.0
775.6,1543940546.2807999,43616946.5,420.51000000000005,605.58,16000.0
775.7,1543940546.381,43616956.5,418.66,605.64,16000.0
775.8000000000001,1543940546.476889,43616966.0,416.79999999999995,606.1777777777778,16000.0
775.9000000000001,1543940546.5721002,43616975.5,415.2900000000001,607.42,16000.0
776.0,1543940546.6729,43616985.5,413.7200000000001,609.35,16000.0
776.1,1543940546.773,43616995.5,412.58000000000004,611.12,16000.0
776.2,1543940546.8741002,43617005.5,411.7099999999999,612.9300000000001,16000.0
776.3000000000001,1543940546.9740002,43617015.5,410.65,614.87,16000.0
776.4000000000001,1543940547.0748,43617025.5,409.1,617.05,16000.0
776.5,1543940547.1750002,43617035.5,407.19,619.0199999999999,16000.0
776.6,1543940547.2762,43617045.5,405.37,620.75,16000.0
776.7,1543940547.376,43617055.5,403.39,622.33,16000.0
776.8000000000001,1543940547.4768002,43617065.5,401.86,622.76,16000.0
776.9000000000001,1543940547.5770001,43617075.5,399.82,623.0000000000001,9600.0
777.0,1543940547.6778998,43617085.5,397.64,623.5400000000001,0.0
777.1,1543940547.7782,43617095.5,395.84000000000003,623.8900000000001,0.0
777.2,1543940547.8786998,43617105.5,394.14000000000004,624.18,0.0
777.3000000000001,1543940547.9789999,43617115.5,392.94000000000005,624.37,0.0
777.4000000000001,1543940548.0798998,43617125.5,392.47999999999996,624.0699999999999,0.0
777.5,1543940548.1799998,43617135.5,391.72,623.9000000000001,0.0
777.6,1543940548.2757776,43617145.0,390.8777777777778,623.7555555555556,0.0
777.7,1543940548.3764546,43617155.0,389.5727272727272,623.1999999999999,0.0
777.8000000000001,1543940548.4767778,43617165.0,388.6888888888889,622.7,0.0
777.9000000000001,1543940548.572,43617174.5,387.76,621.9000000000001,0.0
778.0,1543940548.6728,43617184.5,387.53999999999996,621.26,0.0
778.1,1543940548.773,43617194.5,387.65999999999997,621.1400000000001,0.0
778.2,1543940548.8739,43617204.5,387.61,620.7800000000001,0.0
778.3000000000001,1543940548.9740002,43617214.5,387.06000000000006,620.1499999999999,0.0
778.4000000000001,1543940549.0749002,43617224.5,386.25,619.5899999999999,0.0
778.5,1543940549.1750002,43617234.5,385.29,618.95,0.0
778.6,1543940549.2758002,43617244.5,384.2,618.53,0.0
778.7,1543940549.376,43617254.5,382.86,618.72,0.0
778.8000000000001,1543940549.4776,43617264.5,382.01000000000005,619.55,0.0
778.9000000000001,1543940549.5770001,43617274.5,381.61,620.93,0.0
779.0,1543940549.678,43617284.5,381.03999999999996,622.5300000000001,0.0
779.1,1543940549.7779999,43617294.5,379.93,624.3,0.0
779.2,1543940549.8789,43617304.5,378.7900000000001,625.6,0.0
779.3000000000001,1543940549.9789999,43617314.5,377.45,626.8199999999999,0.0
779.4000000000001,1543940550.0798998,43617324.5,375.95,628.18,0.0
779.5,1543940550.1799998,43617334.5,374.07,629.56,0.0
779.6,1543940550.2808998,43617344.5,371.89,630.78,0.0
779.7,1543940550.3811002,43617354.5,369.89,632.14,0.0
779.8000000000001,1543940550.4767778,43617364.0,368.26666666666665,633.5666666666667,0.0
779.9000000000001,1543940550.572,43617373.5,366.32,634.83,0.0
780.0,1543940550.6729,43617383.5,364.3,636.12,0.0
780.1,1543940550.773,43617393.5,362.38,637.35,0.0
780.2,1543940550.8739,43617403.5,360.33,638.4300000000001,0.0
780.3000000000001,1543940550.9740002,43617413.5,358.51,639.6800000000001,0.0
780.4000000000001,1543940551.075,43617423.5,357.99,640.8000000000001,0.0
780.5,1543940551.1750002,43617433.5,358.59,641.82,0.0
780.6,1543940551.2758002,43617443.5,359.2900000000001,642.1500000000001,0.0
780.7,1543940551.376,43617453.5,359.2099999999999,641.99,0.0
780.8000000000001,1543940551.4768002,43617463.5,359.23999999999995,642.0,0.0
780.9000000000001,1543940551.5770001,43617473.5,359.43,641.9799999999999,0.0
781.0,1543940551.6778998,43617483.5,360.61999999999995,641.7900000000001,0.0
781.1,1543940551.7779999,43617493.5,362.1,642.0600000000001,0.0
781.2,1543940551.8792996,43617503.5,364.38,642.03,0.0
781.3000000000001,1543940551.9789999,43617513.5,366.8,642.4,0.0
